board_index,board_name,width,height,total_mines,selections,opened_safe,opened_mines,cycles,cfg_cycles,load_cycles,solver_cycles,score_cycles,total_board_cycles,score_numerator,score_denominator,score_scaled,score,board_crc,jtag_retries,transport_error,protocol_version,build_id,solver_stalled
405,board_19x19_90_12420_none,19,19,90,26,29,7,641878,0,0,641878,0,641878,713,24390,292,0.0292,7728,0,0,2,0001,1
406,board_18x19_90_12527_none,18,19,90,158,217,3,280097,0,0,280097,0,280097,18774,22680,8277,0.8277,9F29,0,0,2,0001,1
407,board_15x12_26_12630_none,15,12,26,53,154,1,23418,0,0,23418,0,23418,3850,4004,9615,0.9615,C458,0,0,2,0001,0
408,board_11x6_12_12660_none,11,6,12,18,54,0,6524,0,0,6524,0,6524,648,648,10000,1.0000,6841,0,0,2,0001,0
409,board_6x5_7_12674_none,6,5,7,15,23,1,74118,0,0,74118,0,74118,138,161,8571,0.8571,0086,0,0,2,0001,0
410,board_4x8_6_12684_none,4,8,6,18,26,0,15675,0,0,15675,0,15675,156,156,10000,1.0000,3C23,0,0,2,0001,0
411,board_4x16_11_12691_none,4,16,11,39,53,0,5054,0,0,5054,0,5054,583,583,10000,1.0000,44A6,0,0,2,0001,0
412,board_6x19_30_12703_none,6,19,30,64,84,3,67533,0,0,67533,0,67533,2268,2520,9000,0.9000,2A34,0,0,2,0001,0
413,board_10x14_21_12740_none,10,14,21,32,119,2,51752,0,0,51752,0,51752,2261,2499,9047,0.9047,854B,0,0,2,0001,0
414,board_17x4_18_12764_none,17,4,18,40,50,3,37261,0,0,37261,0,37261,750,900,8333,0.8333,B842,0,0,2,0001,0
415,board_19x8_23_12784_none,19,8,23,50,129,0,15162,0,0,15162,0,15162,2967,2967,10000,1.0000,2F21,0,0,2,0001,0
416,board_18x16_62_12811_none,18,16,62,121,226,3,190951,0,0,190951,0,190951,13334,14012,9516,0.9516,6C60,0,0,2,0001,0
417,board_17x19_82_12880_none,17,19,82,142,241,4,204203,0,0,204203,0,204203,18798,19762,9512,0.9512,11A2,0,0,2,0001,0
418,board_11x16_27_12975_none,11,16,27,59,149,1,13649,0,0,13649,0,13649,3874,4023,9629,0.9629,72F3,0,0,2,0001,0
419,board_8x10_14_13005_none,8,10,14,31,66,1,39998,0,0,39998,0,39998,858,924,9285,0.9285,B860,0,0,2,0001,0
420,board_7x8_11_13020_none,7,8,11,19,45,0,4502,0,0,4502,0,4502,495,495,10000,1.0000,2293,0,0,2,0001,0
421,board_4x4_3_13034_none,4,4,3,8,13,0,2468,0,0,2468,0,2468,39,39,10000,1.0000,E31B,0,0,2,0001,0
422,board_4x6_3_13040_none,4,6,3,10,21,0,2452,0,0,2452,0,2452,63,63,10000,1.0000,60E1,0,0,2,0001,0
423,board_4x10_6_13044_none,4,10,6,11,34,0,3077,0,0,3077,0,3077,204,204,10000,1.0000,55B7,0,0,2,0001,0
424,board_6x14_18_13051_none,6,14,18,34,66,0,9518,0,0,9518,0,9518,1188,1188,10000,1.0000,5A34,0,0,2,0001,0
425,board_7x16_27_13075_none,7,16,27,51,85,2,74295,0,0,74295,0,74295,2125,2295,9259,0.9259,4DCE,0,0,2,0001,0
426,board_10x19_47_13106_none,10,19,47,83,118,5,107077,0,0,107077,0,107077,4831,6721,7187,0.7187,F38F,0,0,2,0001,1
427,board_17x12_35_13163_none,17,12,35,94,169,0,274485,0,0,274485,0,274485,5915,5915,10000,1.0000,C99B,0,0,2,0001,0
428,board_19x4_19_13202_none,19,4,19,37,57,2,39847,0,0,39847,0,39847,969,1083,8947,0.8947,08CE,0,0,2,0001,0
429,board_18x8_21_13222_none,18,8,21,37,123,1,31863,0,0,31863,0,31863,2460,2583,9523,0.9523,2DDC,0,0,2,0001,0
430,board_11x19_51_13248_none,11,19,51,107,150,3,479546,0,0,479546,0,479546,7176,8058,8905,0.8905,38CC,0,0,2,0001,1
431,board_10x19_41_13308_none,10,19,41,77,137,2,118556,0,0,118556,0,118556,5319,6109,8706,0.8706,2679,0,0,2,0001,1
432,board_7x18_16_13358_none,7,18,16,30,110,1,12593,0,0,12593,0,12593,1650,1760,9375,0.9375,B7A1,0,0,2,0001,0
433,board_4x6_6_13375_none,4,6,6,13,18,0,7881,0,0,7881,0,7881,108,108,10000,1.0000,FEC3,0,0,2,0001,0
434,board_6x5_4_13382_none,6,5,4,7,26,0,1756,0,0,1756,0,1756,104,104,10000,1.0000,0570,0,0,2,0001,0
435,board_11x14_42_13388_none,11,14,42,46,84,1,207845,0,0,207845,0,207845,3416,4704,7261,0.7261,01C5,0,0,2,0001,1
436,board_14x18_58_13437_none,14,18,58,120,194,4,237578,0,0,237578,0,237578,10476,11252,9310,0.9310,C495,0,0,2,0001,0
437,board_19x14_57_13505_none,19,14,57,91,164,1,303741,0,0,303741,0,303741,9139,11913,7671,0.7671,F9DF,0,0,2,0001,1
438,board_19x10_51_13570_none,19,10,51,85,111,2,414178,0,0,414178,0,414178,5383,7089,7593,0.7593,9169,0,0,2,0001,1
439,board_16x4_9_13630_none,16,4,9,24,55,2,14232,0,0,14232,0,14232,385,495,7777,0.7777,A6B4,0,0,2,0001,0
440,board_12x8_21_13640_none,12,8,21,52,75,0,72842,0,0,72842,0,72842,1575,1575,10000,1.0000,2323,0,0,2,0001,0
441,board_5x19_15_13665_none,5,19,15,40,80,0,13925,0,0,13925,0,13925,1200,1200,10000,1.0000,CB31,0,0,2,0001,0
442,board_4x10_12_13681_none,4,10,12,24,28,1,28634,0,0,28634,0,28634,308,336,9166,0.9166,14BE,0,0,2,0001,0
443,board_11x5_9_13695_none,11,5,9,12,46,0,5042,0,0,5042,0,5042,414,414,10000,1.0000,F88D,0,0,2,0001,0
444,board_15x10_39_13706_none,15,10,39,66,99,4,285277,0,0,285277,0,285277,3417,4329,7893,0.7893,B2A4,0,0,2,0001,1
445,board_19x19_55_13757_none,19,19,55,91,306,0,60061,0,0,60061,0,60061,16830,16830,10000,1.0000,9F56,0,0,2,0001,0
446,board_19x16_73_13822_none,19,16,73,169,231,0,162813,0,0,162813,0,162813,16863,16863,10000,1.0000,9540,0,0,2,0001,0
447,board_15x6_16_13906_none,15,6,16,41,74,0,14880,0,0,14880,0,14880,1184,1184,10000,1.0000,B377,0,0,2,0001,0
448,board_8x6_12_13927_none,8,6,12,12,29,1,60286,0,0,60286,0,60286,312,432,7222,0.7222,4969,0,0,2,0001,1
449,board_4x14_14_13941_none,4,14,14,33,42,2,66033,0,0,66033,0,66033,504,588,8571,0.8571,5534,0,0,2,0001,0
450,board_4x18_10_13956_none,4,18,10,26,62,0,6306,0,0,6306,0,6306,620,620,10000,1.0000,19D5,0,0,2,0001,0
451,board_4x19_11_13967_none,4,19,11,26,65,3,25814,0,0,25814,0,25814,520,715,7272,0.7272,FDD6,0,0,2,0001,0
452,board_8x12_23_13980_none,8,12,23,29,36,1,159133,0,0,159133,0,159133,755,1679,4496,0.4496,BE2F,0,0,2,0001,1
453,board_16x4_13_14006_none,16,4,13,23,51,2,20405,0,0,20405,0,20405,561,663,8461,0.8461,EE99,0,0,2,0001,0
454,board_19x16_46_14021_none,19,16,46,84,258,0,26293,0,0,26293,0,26293,11868,11868,10000,1.0000,D663,0,0,2,0001,0
455,board_19x18_46_14075_none,19,18,46,98,296,1,40558,0,0,40558,0,40558,13320,13616,9782,0.9782,5A3C,0,0,2,0001,0
456,board_14x14_47_14124_none,14,14,47,105,149,2,111717,0,0,111717,0,111717,6705,7003,9574,0.9574,901A,0,0,2,0001,0
457,board_10x8_12_14176_none,10,8,12,25,68,0,6470,0,0,6470,0,6470,816,816,10000,1.0000,8290,0,0,2,0001,0
458,board_9x6_7_14190_none,9,6,7,13,47,0,3232,0,0,3232,0,3232,329,329,10000,1.0000,1155,0,0,2,0001,0
459,board_5x4_5_14198_none,5,4,5,13,15,1,27877,0,0,27877,0,27877,60,75,8000,0.8000,62EF,0,0,2,0001,0
460,board_4x10_8_14204_none,4,10,8,22,32,3,12231,0,0,12231,0,12231,160,256,6250,0.6250,70C8,0,0,2,0001,0
461,board_8x19_37_14213_none,8,19,37,44,58,3,211816,0,0,211816,0,211816,1801,4255,4232,0.4232,02D1,0,0,2,0001,1
462,board_10x18_47_14253_none,10,18,47,91,133,2,74800,0,0,74800,0,74800,5985,6251,9574,0.9574,B8E7,0,0,2,0001,0
463,board_17x6_15_14308_none,17,6,15,32,87,1,36041,0,0,36041,0,36041,1218,1305,9333,0.9333,6D26,0,0,2,0001,0
464,board_19x6_29_14325_none,19,6,29,71,85,3,46982,0,0,46982,0,46982,2210,2465,8965,0.8965,3DE2,0,0,2,0001,0
465,board_16x18_49_14358_none,16,18,49,94,239,1,104926,0,0,104926,0,104926,11472,11711,9795,0.9795,37F4,0,0,2,0001,0
466,board_12x19_63_14414_none,12,19,63,84,126,3,367523,0,0,367523,0,367523,7443,10395,7160,0.7160,9982,0,0,2,0001,1
467,board_6x10_8_14486_none,6,10,8,18,52,0,6568,0,0,6568,0,6568,416,416,10000,1.0000,469F,0,0,2,0001,0
468,board_5x8_6_14495_none,5,8,6,17,34,1,4937,0,0,4937,0,4937,170,204,8333,0.8333,8C9F,0,0,2,0001,0
469,board_4x4_3_14502_none,4,4,3,7,13,0,4417,0,0,4417,0,4417,39,39,10000,1.0000,6BB2,0,0,2,0001,0
470,board_6x10_9_14506_none,6,10,9,19,51,0,10490,0,0,10490,0,10490,459,459,10000,1.0000,0CCD,0,0,2,0001,0
