"board_index","board_name","width","height","total_mines","selections","opened_safe","opened_mines","cycles","cfg_cycles","load_cycles","solver_cycles","score_cycles","total_board_cycles","score_numerator","score_denominator","score_scaled","score","solver_stalled"
"915","board_8x5_10_28174_none","8","5","10","14","30","1","22679","3","40","22679","37","22761","270","300","9000","0.9000","0"
"916","board_4x8_4_28187_none","4","8","4","10","28","0","2030","3","32","2030","37","2104","112","112","10000","1.0000","0"
"917","board_6x19_27_28192_none","6","19","27","29","87","0","31732","3","114","31732","37","31888","2349","2349","10000","1.0000","0"
"918","board_10x18_24_28221_none","10","18","24","37","156","0","11121","3","180","11121","37","11343","3744","3744","10000","1.0000","0"
"919","board_16x8_33_28248_none","16","8","33","47","84","3","109063","3","128","109063","37","109233","2487","3135","7933","0.7933","1"
"920","board_18x4_16_28293_none","18","4","16","24","45","2","80744","3","72","80744","37","80858","608","896","6785","0.6785","1"
"921","board_18x12_54_28312_none","18","12","54","110","162","2","251722","3","216","251722","37","251980","8424","8748","9629","0.9629","0"
"922","board_12x19_35_28378_none","12","19","35","62","193","0","28124","3","228","28124","37","28394","6755","6755","10000","1.0000","0"
"923","board_10x18_26_28416_none","10","18","26","47","154","1","30430","3","180","30430","37","30652","3850","4004","9615","0.9615","0"
"924","board_4x5_4_28446_none","4","5","4","10","16","0","1971","3","20","1971","37","2033","64","64","10000","1.0000","0"
"925","board_4x6_5_28451_none","4","6","5","12","19","1","10908","3","24","10908","37","10974","76","95","8000","0.8000","0"
"926","board_7x12_22_28457_none","7","12","22","58","62","3","24978","3","84","24978","37","25104","1178","1364","8636","0.8636","0"
"927","board_15x19_41_28484_none","15","19","41","92","244","0","24217","3","285","24217","37","24544","10004","10004","10000","1.0000","0"
"928","board_17x16_57_28529_none","17","16","57","92","215","0","43365","3","272","43365","37","43679","12255","12255","10000","1.0000","0"
"929","board_18x14_61_28590_none","18","14","61","107","191","8","152867","3","252","152867","37","153161","10123","11651","8688","0.8688","0"
"930","board_18x12_58_28657_none","18","12","58","66","95","4","581954","3","216","581954","37","582212","4878","9164","5323","0.5323","1"
"931","board_19x10_49_28723_none","19","10","49","97","141","3","160791","3","190","160791","37","161023","6486","6909","9387","0.9387","0"
"932","board_18x4_11_28783_none","18","4","11","30","61","1","17586","3","72","17586","37","17700","610","671","9090","0.9090","0"
"933","board_11x16_38_28796_none","11","16","38","66","138","1","34376","3","176","34376","37","34594","5106","5244","9736","0.9736","0"
"934","board_7x19_19_28838_none","7","19","19","23","114","0","10730","3","133","10730","37","10905","2166","2166","10000","1.0000","0"
"935","board_4x14_15_28860_none","4","14","15","40","41","3","49637","3","56","49637","37","49735","492","615","8000","0.8000","0"
"936","board_6x4_3_28879_none","6","4","3","3","21","0","1384","3","24","1384","37","1450","63","63","10000","1.0000","0"
"937","board_14x14_41_28883_none","14","14","41","78","155","1","53327","3","196","53327","37","53565","6200","6355","9756","0.9756","0"
"938","board_15x16_41_28927_none","15","16","41","58","199","0","11935","3","240","11935","37","12217","8159","8159","10000","1.0000","0"
"939","board_17x19_43_28976_none","17","19","43","97","280","0","24677","3","323","24677","37","25042","12040","12040","10000","1.0000","0"
"940","board_18x19_62_29027_none","18","19","62","151","280","0","35735","3","342","35735","37","36119","17360","17360","10000","1.0000","0"
"941","board_18x8_25_29093_none","18","8","25","37","119","0","16711","3","144","16711","37","16897","2975","2975","10000","1.0000","0"
"942","board_15x4_10_29119_none","15","4","10","17","50","0","5112","3","60","5112","37","5214","500","500","10000","1.0000","0"
